Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
La Vï¿½ï¿½c,La Vï¿½ï¿½c,Xavi,8/19/2023,USA2P2339944,280,92.0,"521,116,293","24,734","22,828,160",81.0,"427,625,497","2,560,068","33,444","11,882,123","107,781,205","1,392,579,416",18.0,"3,852",82,20.0,"14,503,583",22.0,"10,154,861","13,336",,"988,007",,1
MY EYES,UTOPIA,Travis Scott,7/28/2023,USSM12305007,281,91.9,"403,132,906","103,255","13,549,357",78.0,"42,319,491","564,712","8,436","16,565,594","139,973,656","2,150",37.0,417,,12.0,"403,386",6.0,"517,355","3,385","10,105,167","1,911,147",,1
WORK,GOLDEN HOUR : Part.1,ATEEZ,5/31/2024,KRD442400011,282,91.7,"10,135,326",678,"14,542,753",31.0,"29,271,837","586,888",,,,"30,784",13.0,158,,7.0,"18,929",41.0,"102,486",119,566,"25,958",,0
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,4/17/2017,USUM71703825,284,91.5,"1,713,294,983","134,700","39,604,784",65.0,"2,920,155,266","17,308,189","1,323,640","61,011,622","607,999,568","380,296,279",268.0,598,57,91.0,"820,925",27.0,"332,562,946","1,547,528",,"7,805,645",,0
Ghost,Justice,Justin Bieber,3/19/2021,USUM72102635,283,91.5,"1,586,830,204","151,923","73,574,395",80.0,"476,319,277","4,622,504","797,409","122,390,348","1,180,485,094","2,976,186,938",119.0,"844,492","3,180",114.0,"303,462",49.0,"129,493,114","54,497",,"4,413,143",,0
Dior,Meet The Woo,Pop Smoke,7/26/2019,USUM71914275,285,91.4,"1,070,422,470","294,539","47,391,658",72.0,"909,072,115","7,522,969","1,447,194","119,978,916","1,077,344,517","3,659,504",132.0,"82,158",53,38.0,"316,666",11.0,"55,282,282","69,945","103,490,551","4,711,998",,1
New Baby Shark,Pinkfong & Baby Shark's Space Adventure Songs,Pinkfong,9/30/2022,QMDA62210237,286,91.2,"720,822,868",13,164,17.0,,,,,,,,,,,,,"86,397,101","2,234,762",,,,0
Breakeven,Breakeven (Official 4K Video),The Script,4/25/2024,GB1102400418,287,91.1,"858,979,483",1,14,,,,,,,,,,,,,,,,,,,0
Una Noche en Medellï¿½,Una Noche en Medellï¿½,Cris Mj,1/21/2022,QM4TW2218961,288,90.7,"839,405,565","107,431","27,444,811",75.0,"662,287,768","4,695,932","3,874,773","422,978,919","4,817,726,878","438,066,241",41.0,"29,848",601,19.0,"1,780,823",46.0,"8,328,637","7,361",,"2,351,019",,1
SAD!,SAD!,XXXTENTACION,3/2/2018,USUG11800208,289,90.5,"2,218,531,106","263,801","60,437,070",75.0,"1,800,863,873","26,301,389","1,295,895","58,018,849","435,340,082","178,579,824",77.0,"21,340",107,45.0,"409,497",17.0,"187,658,592","508,457","79,154,715","3,798,652",,1
Primera Cita,La Primera Cita - Single,Carin Leon,4/20/2023,QZQMB2104890,290,90.5,"598,006,591","35,842","34,735,524",80.0,"415,255,950","1,480,134","916,093","96,228,889","1,108,602,382","384,774,756",32.0,"26,180",172,25.0,"9,487,462",25.0,"26,478,187","16,200","1,434,610","2,336,296",,0
Efecto,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214884,292,90.1,"1,293,773,697","115,332","51,081,689",77.0,"501,908,214","2,730,759","2,482,560","549,037,519","6,046,489,956","179,322,656",50.0,"33,285",48,16.0,"2,258,927",51.0,"43,667,676","13,112",,"1,927,360",,1
Dame Tu Cosita,Dame Tu Cosita,El Chombo,4/23/2018,TCADP1859309,291,90.1,,273,"54,198",,"5,004,189,392","20,218,394",,,,"229,315,984",,,,,,,,,,,,0
Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Isadora Pompeo,11/9/2023,BRSME2301957,293,89.6,"95,536,146","8,900","9,760,374",,"143,810,663","1,507,763","1,800,000","44,077,311","711,024,077","890,790,802",16.0,88,,51.0,"7,385,831",7.0,,,,"229,561",,0
Slow It Down,Slow It Down,Benson Boone,3/22/2024,USWB12400913,294,89.4,"202,667,139","11,945","116,623,933",85.0,"25,188,125","291,189",,"349,400","3,500,000","126,501,922",56.0,"36,922",326,37.0,"6,074,638",74.0,"16,853,510","3,223","442,051","518,777",,0
Yonaguni,Yonaguni,Bad Bunny,6/4/2021,QM6P42169803,295,88.6,"1,398,634,184","177,082","44,848,091",71.0,"1,084,871,745","7,894,095","884,793","298,126,879","2,877,719,483","314,632,224",145.0,"54,669",145,40.0,"381,403",48.0,"62,939,872","19,535",,"2,211,960",,1
Heathens,Heathens,Twenty One Pilots,6/16/2016,USAT21601930,296,88.6,"1,777,196,966","241,108","65,091,468",78.0,"2,624,180,055","21,763,865","4,715,288","113,594,559","1,024,805,500","479,301,512",125.0,"153,475",322,108.0,"534,238",31.0,"513,952,113","630,803",,"14,696,531",,0
Whoopty,Whoopty,CJ,8/20/2020,USA2P2031043,297,88.6,"775,664,145","213,464","28,998,615",61.0,"810,607,861","8,889,460","2,403,279","506,491,179","4,864,435,271","144,018,344",158.0,"1,644",533,31.0,"74,337",15.0,"60,410,875","41,096","59,294,063","6,422,051",,1
Super Shy,NewJeans 'Super Shy',NewJeans,7/7/2023,USA2P2330068,298,88.4,"547,471,596","48,103","22,977,059",77.0,"202,977,396","2,705,714","1,201,620","210,186,679","1,998,080,214","776,229,988",56.0,"23,381",258,22.0,"671,053",58.0,"1,428,951","6,871","2,172,977","528,849",,0
Happier,Happier - Single,Marshmello,8/16/2018,USUG11801651,299,87.9,"2,143,821,605","220,298","53,040,597",16.0,"1,512,765,689","18,732,541","1,228,334","96,907,387","809,336,882","2,340,278,160",209.0,"390,418",293,444.0,"639,996",73.0,"375,500,033","584,098",,"10,193,237",,0
HARLEY QUINN,HARLEY QUINN - Single,Fuerza Regida,10/18/2023,QZ9QQ2300781,301,87.7,"462,284,590","31,617","36,745,154",84.0,"110,545,167","325,395","911,100","169,601,790","1,947,539,058","184,602,581",41.0,"13,786",721,46.0,"7,896,597",39.0,"14,745,087","13,732","233,125","1,075,943",,1
Baby Don't Hurt Me,Baby Don't Hurt Me - Single,David Guetta,4/7/2023,UKWLG2300016,300,87.7,"509,231,024","69,486","142,546,135",79.0,"40,223,001","328,421",,42,312,"298,775,920",145.0,"396,880",425,121.0,"3,802,321",91.0,"29,557,806","1,437","1,308,074","3,375,037",,0
Butter,Butter,BTS,5/21/2021,QM6MZ2156864,302,87.5,"1,257,974,135","90,160","40,533,320",70.0,"1,175,755,478","27,744,989","2,098,050","1,059,257,365","8,120,632,702","3,244,619,218",221.0,"181,961",545,43.0,"1,426,798",68.0,"23,569,614","50,520",,"4,173,408",,0
Cinderella,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402037,304,87.2,"124,945,674","21,581","41,881,780",,"11,346,227","139,956",,,,"421,455",24.0,298,,14.0,"291,310",4.0,"4,388,108","1,644","3,756,755","369,853",,1
Calma - Remix,Calma (Remix),Pedro Capï¿,10/5/2018,USSD11800343,303,87.2,"1,153,753,974","118,846","37,335,160",67.0,"2,890,512,374","13,572,964","1,847,640","11,391,899","124,640,416","374,564,231",152.0,"57,934",7,77.0,"859,903",2.0,"168,274,012","88,107",,"14,113,990",,0
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")","CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,5/6/2016,USRC11600876,305,87.1,"1,733,302,434","191,065","88,781,556",72.0,"2,322,229,374","9,042,088","2,563,738","26,503,434","153,590,873","319,751,277",459.0,"364,043",576,482.0,"2,062,925",116.0,"605,593,706","1,206,969",,"15,828,266",,0
Say So,Hot Pink,Doja Cat,11/7/2019,USRC11903454,306,87.0,"1,199,270,601","161,574","48,493,190",69.0,"879,051,516","10,069,968","8,992,493","687,678,447","5,494,376,938","745,421,859",295.0,"1,309",531,180.0,"1,309,139",72.0,"110,184,400","176,348",,"10,741,166",,1
Ransom,Ransom,Lil Tecca,5/22/2019,QZ85M1940160,307,86.8,"1,355,971,796","198,992","52,412,236",77.0,"749,040,183","8,156,272","501,905","79,556,873","532,109,309","51,588,391",99.0,"26,259",154,32.0,"958,518",25.0,"88,012,413","229,716","162,569,561","2,972,685",,1
Romantic Homicide,Romantic Homicide,d4vd,7/20/2022,QZMEM2232831,308,86.8,"1,136,504,636","152,157","60,605,828",81.0,"154,143,867","2,307,573","515,601","215,294,962","1,306,972,284","89,389,771",65.0,"8,306",43,25.0,"426,502",15.0,"8,674,577","16,784","30,568,973","1,892,741",,0
Pink Skies,Pink Skies,Zach Bryan,5/24/2024,USWB12401947,309,86.7,"60,240,739","4,611","98,570,633",84.0,"3,322,959","65,840",,"107,100","843,600","235,974,273",82.0,734,1,26.0,"5,164,376",79.0,"5,006,041","2,349","521,223","156,886",,0
Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,10/21/2016,GBAHS1600363,310,86.6,"1,528,107,667","170,648","55,710,071",73.0,"3,187,869,227","16,180,445","2,416,274","61,034,077","595,697,842","1,722,812,433",188.0,"174,095",83,151.0,"643,408",38.0,"231,249,781","177,271","35,600,592","23,696,980",,1
Danza Kuduro - Cover,A collection of Western music that will get you excited,MUSIC LAB JPN,11/15/2023,TCJPX2396779,355,86.6,"1,627,429,837",12,163,,,,,,,,,,,,,,,,,,,1
Cool,JnD Mix,,5/25/2024,QZNWQ2410638,311,86.5,,,,,,,,,,,,,,,,,,,,"8,624,577",,0
Rich Men North of Richmond,Rich Men North of Richmond - Single,Oliver Anthony Music,8/11/2023,QZPLS2305267,312,86.5,"214,598,468","66,613","6,363,839",74.0,"145,094,088","2,568,642","8,397","1,367,633","35,469,076","733,344,471",21.0,"5,633",,2.0,"164,805",12.0,"93,004,856","63,249",,"736,604",,1
BESO,RR,ROSALï¿½,3/24/2023,USSM12301258,313,86.3,"647,201,484","81,393","46,208,549",74.0,"186,060,248","1,524,559","946,380","131,649,631","1,792,090,770","28,857,204",117.0,"106,591",277,80.0,"4,935,799",65.0,"20,360,773","4,829","113,549","1,589,528",,0
MTG QUEM Nï¿½ï¿½O QUER SO,MTG QUEM Nï¿½ï¿½O QUER SOU EU - Si,DJ TOPO,5/10/2024,BXIV82456543,315,86.1,"51,198,446","3,022","40,425,173",80.0,"14,990,394","244,589","245,300",,,,8.0,48,,29.0,"9,552,072",20.0,,,,"128,880",,0
Que Vuelvas,Que Vuelvas - Single,Carin Leon,12/9/2022,QZWT32210000,314,86.1,"684,853,927","42,893","25,716,699",73.0,"547,937,715","1,638,787","1,100,030","91,969,060","1,162,186,778","4,235,395",45.0,"14,160",358,20.0,"2,332,617",18.0,"100,368,438","17,421",,"1,654,594",,1
Pretty Green Eyes (Sunset Ibiza Mix),Pretty Green Eyes (Sunset Ibiza Mix),KETTAMA,6/14/2024,CBEFB2400006,316,85.9,,5,"3,277,306",,,,,,,,1.0,2,,1.0,"87,002",10.0,,,"553,000",,,0
Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,10/17/2022,USAT22219211,318,85.8,"665,519,026","152,193","67,322,941",68.0,"187,947,945","2,379,515","1,016,531","606,205,784","5,516,142,056","169,512,700",73.0,"4,066","5,729",20.0,"707,505",93.0,"30,928,677","53,530",,"3,245,670",,1
Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,USUM72013632,317,85.8,"785,016,247","210,669","32,702,397",70.0,"654,629,596","5,578,060","1,826,673","141,952,709","976,662,212","56,134,858",100.0,41,25,8.0,"33,088",4.0,"140,629,473","71,183","73,950,933","3,516,050",,1
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,8/25/2017,USUYG1156898,319,85.6,"1,615,274,494","203,617","35,375,009",79.0,"515,463,883","6,471,385","59,900","19,736,442","100,843,174","4,528,014",37.0,"1,088",,14.0,"176,966",5.0,"106,473,506","116,371","319,835,943","2,026,025",,1
Rich Flex,Her Loss,Drake,11/4/2022,USUG12208598,320,85.5,"812,274,757","185,579","57,165,405",73.0,"86,053,276","651,228","317,033","223,409,952","1,834,709,832","41,553,113",116.0,644,128,27.0,"1,296,204",54.0,"61,423,121","33,488",,"2,300,268",,1
Standing Next to You,GOLDEN,Jung Kook,11/3/2023,USA2P2348391,321,85.5,"675,865,902","23,181","58,344,509",85.0,"130,563,278","4,183,405","308,567","111,187,858","628,043,802","2,554,205,866",37.0,"62,294",25,49.0,"6,851,022",24.0,"3,073,921","1,442",,"1,220,942",,0
Congratulations,Congratulations,Post Malone,11/4/2016,USUM71614484,322,85.3,"1,984,802,459","246,374","81,736,432",75.0,"1,790,918,527","11,063,672","955,053","99,916,455","811,673,866","172,345,162",143.0,"32,009",57,41.0,"337,255",26.0,"389,602,011","364,648","155,990,695","5,233,589",,1
Do It To It,Do It To It,ACRAZE,8/20/2021,QZFPL2100100,324,85.2,"805,019,111","238,887","94,531,613",73.0,"117,678,524","1,540,284","2,600,179","673,283,810","10,369,065,597","116,322,631",192.0,"217,739","2,822",105.0,"1,784,254",40.0,"51,038,784","9,188",,"9,653,748",,0
Tusa,Tusa,KAROL G,11/7/2019,USUM71921183,323,85.2,"1,497,511,486","157,185","59,187,880",68.0,"1,816,772,749","12,498,062","1,636,079","39,086,388","414,336,041","458,694,827",232.0,"150,990",111,256.0,"1,274,272",83.0,"104,611,041","127,399",,"7,663,807",,0
For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,USUM72013355,325,84.8,"1,119,350,842","272,485","46,626,350",71.0,"767,399,825","6,283,245","1,312,576","203,661,245","1,505,078,331","68,109,096",206.0,"243,703",234,33.0,"158,712",24.0,"218,042,360","64,927",,"4,546,156",,1
Good Good,Good Good,USHER,8/4/2023,QZS7J2331813,326,84.7,"53,825,007","14,742","9,204,769",59.0,"83,224,436","607,267","88,131","6,358,930","89,022,964","250,252,884",22.0,"343,553",33,7.0,"543,853",34.0,"58,537,921","22,294","2,154,788","1,896,814",,1
Austin,Austin - Single,Dasha,11/17/2023,QZTB92360479,327,84.6,"273,023,490","17,900","169,190,514",87.0,"28,916,868","303,426","744,600","187,163,600","2,850,135,008","448,423,212",99.0,"83,189",449,48.0,"1,283,979",130.0,"22,107,065","4,925","337,191","1,521,087",,1
Search & Rescue,Search & Rescue,Drake,4/7/2023,USUG12301601,329,84.6,"337,858,357","96,709","21,646,810",69.0,"40,938,953","336,819","106,645","21,329,637","192,701,225","235,007,162",89.0,"119,741",162,15.0,"535,329",13.0,"44,542,627","18,653","14,784,764","1,383,076",,1
TULUM,TULUM,Peso Pluma,6/28/2023,QM7282325573,328,84.6,"390,182,196","36,912","13,688,250",74.0,"253,468,644","1,103,093","1,096,644","84,875,226","1,391,833,232","51,539,597",44.0,"20,963",71,16.0,"2,197,720",38.0,"23,438,854","7,268","2,169,379","964,306",,1
Shivers,#NAME?,Ed Sheeran,1/1/2020,GBAHS2100671,330,84.4,"1,568,058,093","188,855","77,441,110",77.0,"683,237,554","4,641,763","389,848","88,427,778","1,292,107,474","4,334,606,324",263.0,"925,333","1,773",222.0,"4,658,778",112.0,"290,859,819","66,708",,"10,179,048",,0
Coup du marteau,Coup du marteau,Tam Sir,12/8/2023,DGA0Q2357844,331,84.3,"24,933,240","4,241","2,378,348",,"79,219,504","463,646","1,800,000","44,679,343","687,729,852","641,603,777",10.0,"2,264",,6.0,"165,572",1.0,,,,"1,245,247",,0
Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,10/14/2020,USA2P2036916,332,84.1,"90,383,224","24,868","4,716,437",45.0,"29,836,991","627,377","16,892,400","462,872,272","4,082,175,492","1,067",20.0,470,423,6.0,"22,115",3.0,"6,283,417","26,512","10,556,085","759,001",,1
Full Senyum Sayang,Full Senyum Sayang,Evan Loss,4/28/2022,SGB502213458,333,84.0,"18,296,870","1,967","400,655",,"108,892,433","699,306","9,893,499","340,731,924","6,334,463,728","15,197",1.0,295,,,,,,,,"24,326",,0
Sunroof,Sunroof,Nicky Youre,12/3/2021,USQX92202129,334,83.8,"890,752,779","104,690","38,444,734",79.0,"169,046,580","1,678,946",621,"47,472","5,807,175","2,854,434,834",149.0,"849,471",491,65.0,"1,743,336",9.0,"110,963,977","82,293","771,581","2,488,830",,0
Watching Yourself Being Born,Neuroscape,Blush Response,4/4/2023,QZFZ72309552,335,83.7,,13,191,,"918,283,411","1,480,549",,,,,,3,,,,,,,,,,0
Los del Espacio,Los del Espacio - Single,LIT killah,6/1/2023,USWL12300725,336,83.3,"373,898,429","53,671","24,287,193",72.0,"314,467,618","1,775,081","782,114","148,537,760","1,715,842,070","670,200,525",42.0,"29,417",3,27.0,"645,947",28.0,"79,804",197,,"776,352",,0
Taste (feat. Offset),Taste (feat. Offset),Tyga,5/16/2018,USUYG1198481,338,83.1,"1,358,105,253","217,189","31,143,734",69.0,"1,875,005,008","10,236,903","3,833,884","145,706,030","1,981,780,200","526,087,000",67.0,"46,534",142,34.0,"183,823",33.0,"476,875,275","185,157",,"7,997,160",,1
MAMIII,MAMIII,Becky G,2/10/2022,USRC12200425,337,83.1,"911,797,058","80,109","53,928,265",74.0,"628,307,968","4,924,401","1,741,513","267,846,050","3,410,691,967","36,403,252",125.0,"165,243",430,59.0,"3,772,475",83.0,"112,920,660","34,289","190,971","3,561,445",,1
Until I Found You,Until I Found You,Stephen Sanchez,9/1/2021,USUG12103651,339,83.0,"1,020,452,066","169,696","52,678,003",73.0,"385,820,349","4,710,732","796,783","391,999,548","3,320,885,451","3,540,186,470",75.0,"269,792","1,886",30.0,"897,931",42.0,"38,544,039","26,435","8,598,138","11,693,340",,0
exes,exes,Tate McRae,11/17/2023,USRC12302756,340,83.0,"323,100,055","27,272","33,467,589",,"33,501,338","405,965","319,600","56,188,128","730,969,180","1,646,779,233",67.0,"131,125",811,56.0,"1,010,439",57.0,"24,536,746","8,494",,"697,530",,1
Banana (feat. Shaggy),Banana (feat. Shaggy),Conkarah,8/16/2019,QMRSZ1901446,341,82.7,"27,747,363","9,067","1,365,840",41.0,"136,028,794","1,352,520","23,206,073","803,136,063","11,797,196,743","11,609,501",12.0,"7,746",100,8.0,"90,628",10.0,,,,"348,103",,0
Stick Season,Stick Season,Noah Kahan,7/8/2022,USUM72212470,342,82.6,"965,865,213","113,676","169,323,128",86.0,"89,431,811","659,870","82,855","29,406,696","275,016,537","315,685,769",148.0,"319,240",577,85.0,"16,767,304",103.0,"18,405,146","38,276","8,435,767","3,365,903",,0
Need To Know,Need To Know,Doja Cat,6/11/2021,USRC12101120,344,82.5,"1,178,076,856","164,743","42,269,625",71.0,"507,790,705","6,169,368","734,932","365,523,934","2,422,643,413","2,099,921,417",195.0,"439,065","1,451",38.0,"870,717",28.0,"90,615,307","51,300",,"5,746,726",,1
kompa pasiï¿½,kompa pasiï¿½,ýýýýýýýýýý,4/12/2024,USUS12400227,345,82.5,"29,458,027","2,602","6,588,032",78.0,"8,529,869","225,779","439,200","8,820,761","87,680,200","154,517",9.0,132,,6.0,"73,462",,,,"365,682","2,085,595",,0
Quï¿½ï¿½ Ago,Pa' Luego Es Tarde,Yuridia,10/20/2022,MXF012200200,343,82.5,"394,381,902","22,919","12,262,540",73.0,"805,683,907","2,076,505","998,663","48,461,089","847,830,213","14,566,260",24.0,"25,712","1,169",18.0,"2,340,656",15.0,"14,271,775","11,420",,"1,353,588",,0
Last Last,Last Last,Burna Boy,5/12/2022,USAT22204901,346,82.4,"410,722,289","130,203","16,877,163",68.0,"332,556,651","1,906,835","260,214","93,902,403","1,049,244,970","306,416,991",203.0,"214,958","2,031",30.0,"258,278",94.0,"15,787,293","18,736","16,995,425","4,840,000",,0
Ngopi Maszeh,Ngopi Maszeh,Happy Asmara,1/29/2023,SGB502314277,347,82.2,"8,034,198",756,"174,523",,"32,806,412","130,043","6,698,664","76,927,003","1,953,589,891",,,27,,,,,,,,,,0
500lbs,500lbs,Lil Tecca,7/21/2023,USUM72309854,349,82.1,"350,584,176","79,228","26,972,646",68.0,"32,342,535","452,857",638,"1,056,379","11,627,298","277,256,864",19.0,"1,239","1,452",5.0,"31,145",19.0,"2,538,334","6,256","18,379,949","776,386",,1
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,9/3/2021,USUG12104409,348,82.1,"732,652,170","217,189","35,225,322",72.0,"247,680,355","2,184,804","264,300","95,344,150","711,702,658","379,789,269",67.0,"3,965",443,10.0,"74,228",26.0,"96,181,566","75,646","43,754,739","2,095,961",,1
BILLIE EILISH.,BILLIE EILISH.,Armani White,5/19/2022,SGB502248062,350,82.0,"359,416,593","91,114","29,730,236",64.0,"116,400,996","2,127,918","4,530,098","885,538,360","10,488,403,602","74,794,888",40.0,"169,548","7,064",18.0,"137,293",52.0,"29,260,633","18,576","24,428","3,310,069",,1
ýýýýýýýýýýýý,ýýýýýýýýýýýý,YOASOBI,4/12/2023,JPP302300157,351,81.8,"356,559,943","47,785","12,078,942",69.0,"490,408,465","4,295,510","504,800","162,429,655","1,871,819,472","1,227,624,888",59.0,"1,883",,7.0,"44,834",12.0,"540,614",419,,"804,248",,0
Lï¿½ï¿½ï¿½AMOUR DE ,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401990,352,81.6,"84,575,291","5,186","51,449,432",85.0,"11,080,040","346,121",137,,,"3,541,236",95.0,271,1,19.0,"2,682,503",18.0,"183,562",231,"749,185","214,747",,0
Thinkinï¿½ï¿½ï¿½ B,One Thing At A Time,Morgan Wallen,3/3/2023,USUG12300821,353,81.5,"406,319,778","42,283","16,439,412",80.0,"84,066,193","368,256","117,408","7,626,726","99,492,470","606,650,627",50.0,"262,596",145,2.0,"2,456",19.0,"181,953,005","27,501","7,289,828","1,185,776",,0
Madonna,Madonna - Single,Natanael Cano,3/8/2024,QZ9QQ2400185,354,81.3,"272,838,329","7,265","54,631,978",85.0,"105,675,950","806,116",,"150,848","2,099,500","126,527,485",23.0,572,,10.0,"2,210,844",8.0,"1,544,866",966,,"572,478",,1
deja vu,deja vu,Olivia Rodrigo,4/1/2021,USUG12101240,355,81.3,"1,606,975,517","172,376","64,346,126",80.0,"638,102,695","7,847,239","1,210,842","534,102,475","3,758,269,019","2,265,662,637",206.0,"279,408",332,27.0,"76,887",49.0,"62,922,329","74,501",,"3,545,397",,1
6. A.M.,Motion is Emotion,Azul,10/7/2022,ES40B2200055,356,81.1,"1,186",5,30,,"1,231,300,374","3,158,558",,,,"248,653,921",,1,,,,,,,,,,0
CONTIGO (with Tiï¿½ï¿½,CONTIGO (with Tiï¿½ï¿½,KAROL G,2/15/2024,USUG12400966,357,81.0,"162,165,853","10,306","87,901,542",85.0,"93,106,341","1,394,962",,,,"1,916,097,608",66.0,"46,348",53,45.0,"4,652,694",69.0,"11,091,776","1,611",179,"775,583",,0
Sequï¿½ï¿½ncia da,Sequï¿½ï¿½ncia da,TRASHXRL,5/8/2023,SGB502370315,358,80.8,"148,630,357","22,962","19,586,200",33.0,"61,652,249","723,007","3,757,654","145,382,546","2,299,851,479","1,136,738",3.0,1,,,,5.0,"42,656",,"5,607,466","423,570",,1
WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401993,359,80.8,"100,838,516","5,188","50,795,354",87.0,"6,390,843","134,606",253,,,"934,654",76.0,181,5,16.0,"4,083,154",39.0,"294,656",163,"1,075,841","124,583",,0
Doja,Doja,Central Cee,7/21/2022,ZZOPM2237319,360,80.5,"676,519,766","192,241","57,503,569",74.0,"201,326,163","3,061,387","492,679","411,670,410","3,919,404,141","279,634,941",66.0,"58,802","2,699",31.0,"877,441",42.0,"1,285,099","3,136",,"2,415,167",,1
Kill This Love,Kill This Love,BLACKPINK,4/4/2019,KRA401900005,361,80.4,"820,840,650","63,934","18,843,601",67.0,"2,920,436,498","40,314,889","1,738,066","182,304,244","1,616,215,054","269,811,977",67.0,"9,022",24,25.0,"237,406",24.0,"11,369,224","57,874",,"2,892,074",,0
Lan,Lan - Single,Zeynep Bastï¿½,3/8/2024,TRAUR2400004,362,80.3,"81,246,715","4,073","6,852,706",72.0,"146,249,969","590,112",,,,"88,179,577",11.0,"5,899",,5.0,"1,585,206",,,,,"444,123",,0
"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,4/5/2024,USUG12401967,363,80.2,"176,290,078","13,470","157,502,211",87.0,"6,018,651","140,562","61,889","45,660,069","263,955,300","17,447,092",99.0,"16,680",,65.0,"10,743,893",122.0,"572,090","1,327","479,188","485,935",,0
Sweet but Psycho,Sweet but Psycho,Ava Max,8/17/2018,USAT21802011,365,80.1,"1,668,741,024","174,052","42,966,784",76.0,"1,254,501,233","9,554,049","5,371,543","206,785,018","2,733,847,243","2,008,056,455",192.0,"368,635",784,106.0,"1,172,519",44.0,"189,191,184","253,101","44,121","13,479,680",,0
Hey Mor,Hey Mor,Ozuna,10/6/2022,QMDA62203322,364,80.1,"986,132,265","97,956","68,983,561",76.0,"383,748,675","1,303,919","793,798","154,969,251","2,145,975,300","45,000,407",79.0,"65,798",79,41.0,"3,780,470",78.0,"27,759,302","3,605",,"1,428,200",,0
Ferrari,Ferrari,James Hype,3/15/2022,GB3CE2200004,366,80.1,"626,010,147","185,422","78,359,363",74.0,"202,193,289","1,277,287","88,909","20,233,025","368,044,894","877,635,000",132.0,"253,244",332,76.0,"1,468,578",44.0,"2,598,595","2,953","6,916,408","6,257,313",,0
Falling,Falling,Trevor Daniel,10/5/2018,USUYG1221109,367,80.0,"1,606,023,895","225,643","32,822,629",71.0,"1,151,842,584","15,653,870","6,047,796","914,937,622","8,742,744,684","529,839,674",115.0,"168,415",126,195.0,"454,460",4.0,"212,305,894","141,079","2,388","12,373,665",,0
positions,positions,Ariana Grande,10/23/2020,USUM72019412,368,80.0,"1,432,830,108","139,215","53,934,095",74.0,"778,340,255","10,401,273","1,268,910","254,276,140","1,984,520,688","1,958,337,600",283.0,"599,336",639,43.0,"242,610",50.0,"90,015,866","39,920",,"3,299,253",,1
Where Are You Now,Where Are You Now,Lost Frequencies,7/30/2021,BEHP42100067,370,79.9,"1,223,329,465","211,823","114,773,091",74.0,"214,359,669","1,467,163","308,286","25,459,624","413,908,070","1,857,452,555",256.0,"391,895",308,158.0,"4,728,637",51.0,"80,579,628","6,731",,"8,462,590",,0
Amor Prohibido - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402905,369,79.9,"302,177,116",34,"224,573",,,,,,,,6.0,,,1.0,239,15.0,"92,486,209","42,531",,,,0
Save Your Tears,After Hours,The Weeknd,3/20/2020,USUG12000658,371,79.9,"1,995,511,952","304,456","63,126,296",80.0,"365,257,705","2,699,016","415,050","137,726,738","1,154,403,769",327,285.0,"3,607",321,46.0,"105,227",27.0,"283,725,931","79,728","22,025,427","15,776,388",,1
Happier Than Ever,Happier Than Ever,Billie Eilish,7/30/2021,USUM72105936,372,79.9,"1,321,878,145","189,487","51,228,803",78.0,"530,778,926","8,470,860","570,442","358,879,639","2,295,813,182","1,152,917,073",199.0,"82,181",275,51.0,"547,449",50.0,"9,900,535","29,358","15,220,155","4,647,622",,1
